"annotation_id","choice","annotation_type","from_name","completion_id","project_id","task_id","completed_by_id","annotation_value_flag"
"6ymh3i4EJE","[""Exclude""]",choices,exclude,81,7,235371,18,
Hvo_8c5toO,"[""Exclude""]",choices,exclude,82,7,235372,18,
"5Dm_arYOUF","[""Exclude""]",choices,exclude,83,7,235373,18,
FlhI-kcIju,"[""Exclude""]",choices,exclude,84,7,235374,18,
Q9KpWaNm8C,"[""Exclude""]",choices,exclude,85,7,235375,18,
jViMn6P2Wg,"[""Exclude""]",choices,exclude,86,7,235376,18,
LFVyJwiRlR,"[""Exclude""]",choices,exclude,87,7,235377,18,
dbFwrZucZU,"[""Exclude""]",choices,exclude,88,7,235378,18,
uyo_SAnbAl,"[""Exclude""]",choices,exclude,89,7,235379,18,
K34p2DV5om,"[""Normal""]",choices,severity,662,7,238030,121,1
mtflw6PYtk,"[""Non Emergency [No Doctor]""]",choices,severity,90,7,235380,18,2
YNaMsTDH98,"[""Emergency""]",choices,severity,91,7,235381,18,0
LFqbk7rHQg,"[""Exclude""]",choices,exclude,92,7,235382,18,
cbwBxALjJY,"[""Emergency""]",choices,severity,93,7,235383,18,0
m-8BF8yX8H,"[""Exclude""]",choices,exclude,94,7,235384,18,
gkDKqHVGV1,"[""Non Emergency [No Doctor]""]",choices,severity,141,7,235431,18,2
SLg4aVErJf,"[""Exclude""]",choices,exclude,283,7,235524,121,
CmtpclYFn4,"[""Exclude""]",choices,exclude,99,7,235389,18,
YEMy4GzUAp,"[""Emergency""]",choices,severity,95,7,235385,18,0
"8_zkY0Et82","[""Exclude""]",choices,exclude,97,7,235387,18,
X7_FNZDen_,"[""Exclude""]",choices,exclude,98,7,235388,18,
RBXTJWNyBW,"[""Exclude""]",choices,exclude,464,7,235819,120,
eQ6r523AuU,"[""Exclude""]",choices,exclude,102,7,235392,18,
-jT4QMnIU6,"[""Exclude""]",choices,exclude,521,7,235846,120,
KqrPnCOa8o,"[""Exclude""]",choices,exclude,120,7,235410,18,
TlRMUDC32w,"[""Emergency""]",choices,severity,96,7,235386,18,0
QQQjEZdWXV,"[""Exclude""]",choices,exclude,387,7,235622,121,
tE3Vu7yzHj,"[""Emergency""]",choices,severity,170,7,235702,120,0
hPDHSIAEVO,"[""Exclude""]",choices,exclude,418,7,235670,121,
Qz1jHsqb2c,"[""Emergency""]",choices,severity,103,7,235393,18,0
"6OBUFigb6v","[""Emergency""]",choices,severity,101,7,235391,18,0
"2YijiyO-Lq","[""Emergency""]",choices,severity,100,7,235390,18,0
UXGdklwbGB,"[""Emergency""]",choices,severity,104,7,235394,18,0
